Question Text,Image,Min Value,Max Value,Explanation,Subject ,Topic ,Subtopic,Source,Year,Cognitive Level,Scope Level,Taxanomy ID
"In an enzyme-catalyzed first-order reaction, the substrate conversion follows an exponential pattern such that 80% of the substrate is converted in 10 minutes. The first-order rate constant (in min−1) of the reaction, rounded off to THREE decimal places, is ________.",,0.16,0.17,"Given $f = 0.8$, solve $\ln(0.2) = -k \cdot 10$, giving $k = 0.161$.",Chemistry,Chemical Kinetics ,"Integrated rate law: Zero, first, second and nth order",IIT JAM BT,2020,Recall,2,100022
Consider a first order reaction A→B. The initial concentration of A is 100 mol L−1 and the value of first order rate constant is 0.01 min−1. The concentration of A after 10 min of reaction is _______ mol L−1.,,90.4,90.6,"Substitute $[A_0] = 100$, $k = 0.01\text{ min}^{-1}$, $t = 10$:
$$[A] = 100e^{-0.01 \times 10} \approx 100e^{-0.1} \approx 90.48\text{ mol/L}$$",Chemistry,Chemical Kinetics ,"Integrated rate law: Zero, first, second and nth order",IIT JAM BT,2023,Application,4,100022
"A piece of charcoal, containing 36 grams of Carbon, found in ancient ruins shows
a 14C activity of 300 decays/min. The tree, from which this charcoal came, has
been dead for _____ years.
Given data: The ratio of 14C to 12C is 1.3 × 10−12 in the CO2 molecules of
atmosphere and the half life of 14C is 5730 years.",,4800,4900,"Calculate initial 14C count using given ratios and decay rate. Then use activity formula A=λN, solving for time t given final decay rate.",Chemistry,Chemical Kinetics ,"Integrated rate law: Zero, first, second and nth order",IIT JAM BT,2016,Application,3,100022
"The value of $\lim_{x \to 3} \frac{x^2 - 4x + 3}{x^2 - 9}$ is \underline{\hspace{1cm}} (rounded off to the nearest integer).

",,6,6,"The numerator x2−9 can be factorized as (x−3)(x+3), and the denominator x2−4x+3 can be factorized as (x−3)(x−1). Simplifying and substituting x=3 gives 16​=6.",Mathematics,Calculus,Limits & Continuity,IIT JAM BT,2024,Conceptual,1,100004
"The value of $\lim_{x \to 3} \frac{x+3}{2x+6}$ is \underline{\hspace{1cm}}.

Solution:
$$\lim_{x \to 3} \frac{x+3}{2x+6} = \lim_{x \to 3} \frac{x+3}{2(x+3)} = \frac{1}{2} = 0.5$$",,2,2,"Substituting x=3, the numerator becomes 2(3)+6=12 and the denominator becomes 3+3=6. Thus, 612​=2.",Mathematics,Calculus,Limits & Continuity,IIT JAM BT,2023,Application,2,100004
"The solution to the integral $\int_{0}^{1} \sqrt{1 + y^2} \, dy$, rounded off to TWO decimal places, is \underline{\hspace{1cm}}.",,1.2,1.3,"By substituting y=sinht, solve the integral using hyperbolic identities and evaluate the definite integral from 0 to 1. Result: ~1.25.",Mathematics,Calculus,Indefinite Integration & Definite Integration,IIT JAM BT,2020,Application,1,100006
Let $A = \begin{pmatrix} \sin\theta & \cos\theta \\ \cos\theta & \sin\theta \end{pmatrix}$ and $A + A^T - 2I = 0$. The value of $\theta$ (in degrees) is \underline{\hspace{1cm}}.,,90,90,"Since A+AT=2I, the values in A satisfy symmetry and orthogonality constraints, giving θ=90°.",Mathematics,Matrices & Determinants,Matrices,IIT JAM BT,2020,Analytical,4,100002
"The solution to the limit $\lim_{x \to 0} (x^2 - 4 - x)$ is \underline{\hspace{1cm}}.
",,0.25,0.25,"Given $a = -3$ and $b = 3$, calculate $\frac{6}{1} \int_{-3}^{3} \sqrt{9 - x^2} \, dx$. This integral represents the area of a semicircle with radius $3$. Evaluate as $\frac{6}{1} \cdot \frac{\pi r^2}{2}$, where $r = 3$.",Mathematics,Calculus,Limits & Continuity,IIT JAM BT,2020,Application,3,100004
"$\int_{0}^{1} x \, dx + \int_{1}^{2} (2 - x) \, dx = \underline{\hspace{1cm}}$",,1.5,1.5,"The integral $\int_{0}^{1} x \, dx = \left[ \frac{x^2}{2} \right]_{0}^{1} = 0.5$. The second integral $\int_{1}^{2} (2 - x) \, dx = \left[ 2x - \frac{x^2}{2} \right]_{1}^{2} = 1.0$. Add both parts: $0.5 + 1.0 = 1.5$.",Mathematics,Calculus,Indefinite Integration & Definite Integration,IIT JAM BT,2017,Application,2,100006
"Two resistors 2Ω and 4Ω are combined in parallel. If this combination is connected to a battery of 16 V, the maximum current that can be drawn from the battery is __________ A (rounded off to the nearest integer).",,12,12,"For parallel resistors, $\frac{1}{R_{eq}} = \frac{1}{2} + \frac{1}{4}$, giving $R_{eq} = 4/3 \, \Omega$. Current $I = \frac{16}{4/3} = 12 \, \text{A}$.",Physics,Current electricity,,IIT JAM BT,2024,Conceptual,1,100010
